category,json_filename,mask_filename,mask_relative_path,num_defect_regions,defect_categories,height,width
1.scratch,Num119.json,Num119.png,1.scratch\ground_truth\test_NG\Num119.png,2,Hshang,552,412
1.scratch,Num121.json,Num121.png,1.scratch\ground_truth\test_NG\Num121.png,2,Hshang,552,412
1.scratch,Num123.json,Num123.png,1.scratch\ground_truth\test_NG\Num123.png,3,Hshang,552,412
1.scratch,Num125.json,Num125.png,1.scratch\ground_truth\test_NG\Num125.png,3,Hshang,552,412
1.scratch,Num211.json,Num211.png,1.scratch\ground_truth\test_NG\Num211.png,3,Hshang,552,412
1.scratch,Num234.json,Num234.png,1.scratch\ground_truth\test_NG\Num234.png,3,Hshang,552,412
1.scratch,Num324.json,Num324.png,1.scratch\ground_truth\test_NG\Num324.png,2,Hshang,552,412
1.scratch,Num7379.json,Num7379.png,1.scratch\ground_truth\test_NG\Num7379.png,1,Hshang,552,412
1.scratch,Num7383.json,Num7383.png,1.scratch\ground_truth\test_NG\Num7383.png,1,Hshang,552,412
1.scratch,Num7757.json,Num7757.png,1.scratch\ground_truth\test_NG\Num7757.png,1,Hshang,552,412
1.scratch,Num7867.json,Num7867.png,1.scratch\ground_truth\test_NG\Num7867.png,2,Hshang,552,412
1.scratch,Num8115.json,Num8115.png,1.scratch\ground_truth\test_NG\Num8115.png,2,Hshang,552,412
1.scratch,Num8119.json,Num8119.png,1.scratch\ground_truth\test_NG\Num8119.png,2,Hshang,552,412
1.scratch,Num8159.json,Num8159.png,1.scratch\ground_truth\test_NG\Num8159.png,1,Hshang,552,412
1.scratch,Num8732.json,Num8732.png,1.scratch\ground_truth\test_NG\Num8732.png,1,Hshang,552,412
1.scratch,Num8734.json,Num8734.png,1.scratch\ground_truth\test_NG\Num8734.png,1,Hshang,552,412
1.scratch,Num1028.json,Num1028.png,1.scratch\ground_truth\train_NG\Num1028.png,2,Hshang;Yshang,552,412
1.scratch,Num1030.json,Num1030.png,1.scratch\ground_truth\train_NG\Num1030.png,2,Hshang;Yshang,552,412
1.scratch,Num10382.json,Num10382.png,1.scratch\ground_truth\train_NG\Num10382.png,2,Hshang;Yshang,552,412
1.scratch,Num1092.json,Num1092.png,1.scratch\ground_truth\train_NG\Num1092.png,1,Hshang,552,412
1.scratch,Num1094.json,Num1094.png,1.scratch\ground_truth\train_NG\Num1094.png,1,Hshang,552,412
1.scratch,Num1095.json,Num1095.png,1.scratch\ground_truth\train_NG\Num1095.png,1,Hshang,552,412
1.scratch,Num11207.json,Num11207.png,1.scratch\ground_truth\train_NG\Num11207.png,1,Hshang,552,412
1.scratch,Num11831.json,Num11831.png,1.scratch\ground_truth\train_NG\Num11831.png,1,Hshang,552,412
1.scratch,Num1266.json,Num1266.png,1.scratch\ground_truth\train_NG\Num1266.png,5,Hshang;Yshang,552,412
1.scratch,Num1305.json,Num1305.png,1.scratch\ground_truth\train_NG\Num1305.png,1,Hshang,552,412
