Phase 4 Big Three Summary
generated_at=2026-08-25T22:02:37+01:00
classes=26 candidates_per_class=30
lfs_expected_band=0.30-0.90
low_accepted_threshold=9
kid_outlier_fence=[-0.064053546,0.152489709] (Tukey 1.50x IQR)

dataset | class | pairs_used | object_loss_fallback_count | lfs_acceptance_rate | accepted_sample_count | FID | KID | LPIPS_diversity | flags
mvtec_ad | bottle | 20 | 0 | 0.733333 | 22 | 110.130577045 | 0.057903484 | 0.142781812 | OK
mvtec_ad | cable | 20 | 0 | 0.733333 | 22 | 125.779248555 | 0.026430028 | 0.309181372 | OK
mvtec_ad | capsule | 20 | 0 | 0.733333 | 22 | 50.300025038 | 0.010056690 | 0.092968597 | OK
mvtec_ad | carpet | 20 | 0 | 0.733333 | 22 | 125.385154692 | 0.087823495 | 0.177964758 | OK
mvtec_ad | grid | 20 | 0 | 0.733333 | 22 | 117.317279838 | 0.030808164 | 0.249574641 | OK
mvtec_ad | hazelnut | 20 | 0 | 0.733333 | 22 | 80.963759902 | 0.013328644 | 0.272586375 | OK
mvtec_ad | leather | 20 | 0 | 0.733333 | 22 | 190.193462932 | 0.116471671 | 0.240958714 | OK
mvtec_ad | metal_nut | 20 | 0 | 0.733333 | 22 | 187.493568534 | 0.103112787 | 0.381391668 | OK
mvtec_ad | pill | 20 | 0 | 0.733333 | 22 | 88.301642557 | 0.024236422 | 0.236688405 | OK
mvtec_ad | screw | 20 | 0 | 0.733333 | 22 | 26.791687558 | 0.001706220 | 0.390256454 | OK
mvtec_ad | tile | 20 | 0 | 0.733333 | 22 | 260.240758613 | 0.111349396 | 0.398718485 | OK
mvtec_ad | toothbrush | 20 | 0 | 0.733333 | 22 | 71.654431689 | 0.014985562 | 0.168547826 | OK
mvtec_ad | transistor | 20 | 0 | 0.733333 | 22 | 123.123937546 | 0.024948366 | 0.266262868 | OK
mvtec_ad | wood | 20 | 1 | 0.733333 | 22 | 260.290752805 | 0.133784488 | 0.409108768 | OK
mvtec_ad | zipper | 20 | 0 | 0.733333 | 22 | 116.640647888 | 0.085990950 | 0.244179550 | OK
ecf | 1.scratch | 20 | 1 | 0.733333 | 22 | 53.417443981 | 0.015403443 | 0.419701329 | OK
ecf | 2.Indentation | 20 | 0 | 0.733333 | 22 | 54.110073649 | 0.022404127 | 0.359147492 | OK
ecf | 3.blade mark | 20 | 0 | 0.733333 | 22 | 52.429784708 | 0.026969777 | 0.185301505 | OK
ecf | 4.dirt | 20 | 0 | 0.733333 | 22 | 40.899282716 | 0.022390369 | 0.154519210 | OK
ecf | 5.particle | 20 | 3 | 0.733333 | 22 | 21.370734128 | 0.005034176 | 0.111263921 | OK
ecf | b2b_flex_pcb | 20 | 2 | 0.733333 | 22 | 88.828556289 | 0.052174415 | 0.265538690 | OK
ecf | contamination | 20 | 7 | 0.733333 | 22 | 162.261848967 | 0.074526243 | 0.405119376 | OK
ecf | ic_flex_pcb | 15 | 0 | 0.733333 | 22 | 83.198068729 | 0.061565224 | 0.137916788 | OK
ecf | ir_base | 20 | 1 | 0.733333 | 22 | 30.772260136 | 0.007293243 | 0.181202784 | OK
ecf | metal_foreign_body | 20 | 0 | 0.733333 | 22 | 61.474982121 | 0.023014201 | 0.120565087 | OK
ecf | missing_plate | 20 | 2 | 0.733333 | 22 | 85.872036874 | 0.035139225 | 0.240245662 | OK
