category,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
1.scratch,0.9764150977134705,0.9629629850387573,0.9538239240646362,0.43797704577445984
2.Indentation,0.8272727727890015,0.9733333587646484,0.8723876476287842,0.42999267578125
3.blade mark,0.981563925743103,0.9918032884597778,0.8263183236122131,0.07921192795038223
4.dirt,0.9973077774047852,0.991304337978363,0.8927754163742065,0.04235096648335457
5.particle,0.9169341921806335,0.9833794832229614,0.6676332950592041,0.00044160732068121433
b2b_flex_pcb,1.0,1.0,0.9812689423561096,0.6870114803314209
contamination,1.0,0.9642857313156128,0.9465018510818481,0.629688560962677
ic_flex_pcb,1.0000001192092896,0.9411764740943909,0.9852416515350342,0.7712709307670593
ir_base,1.0,0.9599999785423279,0.9542271494865417,0.5697671175003052
metal_foreign_body,1.0,0.9677419066429138,0.901258647441864,0.2606886327266693
missing_plate,1.0,1.0,0.7935941815376282,0.38123050332069397
solder_bead,1.0,0.95652174949646,,
MEAN,0.9749578237533569,0.9743757744630178,0.8886391845616427,0.3899664953562685
