Category,Image_AUROC,Pixel_AUROC,Test_Time_s
bottle,1.0000001192092896,0.98401939868927,120.8316080570221
bottle,1.0,0.983768105506897,113.80515646934509
cable,0.9872564077377319,0.9859832525253296,97.90228343009949
capsule,0.9909089803695679,0.9911054372787476,122.75692558288574
carpet,0.9920634627342224,0.9895513653755188,118.14021921157837
grid,0.9811911582946777,0.9824000597000122,43.77020049095154
hazelnut,1.0,0.9881064295768738,95.841317653656
leather,1.0,0.9917176365852356,95.77814221382141
metal_nut,0.998065710067749,0.9841886758804321,117.79435682296753
pill,0.9696641564369202,0.9780208468437195,130.58637118339539
screw,0.9634920358657837,0.9831109046936035,92.60191869735718
tile,1.0,0.9627861976623535,91.03215956687927
toothbrush,0.8888888955116272,0.9888266324996948,43.037267208099365
transistor,0.9950000047683716,0.9736829996109009,90.0805504322052
wood,0.9766666293144226,0.9537048935890198,38.08731555938721
zipper,0.9666666984558105,0.9815014600753784,126.43280053138733
MEAN,0.9818665161728859,0.9814046435058117,96.15491206943989
