dataset,class,n_real,n_synth,crop_exclusion_count,FID,KID,LPIPS_diversity,lfs_acceptance
ecf,1.scratch,102,22,3,53.417443981171175,0.01540344301611185,0.4197013285252955,0.7333333333333333
ecf,2.Indentation,435,22,5,54.1100736485014,0.022404126822948456,0.35914749190920875,0.7333333333333333
ecf,3.blade mark,199,22,42,52.429784707741646,0.026969777420163155,0.1853015051259623,0.7333333333333333
ecf,4.dirt,759,22,41,40.89928271550332,0.022390369325876236,0.15451921013010528,0.7333333333333333
ecf,5.particle,676,22,36,21.37073412756824,0.005034176167100668,0.11126392099248382,0.7333333333333333
ecf,b2b_flex_pcb,26,22,3,88.82855628911808,0.052174415439367294,0.2655386904101351,0.7333333333333333
ecf,contamination,57,22,0,162.26184896677307,0.07452624291181564,0.4051193757490678,0.7333333333333333
ecf,ic_flex_pcb,15,22,3,83.19806872890376,0.06156522408127785,0.13791678839431695,0.7333333333333333
ecf,ir_base,24,22,0,30.772260135530495,0.0072932434268295765,0.18120278372909082,0.7333333333333333
ecf,metal_foreign_body,32,22,0,61.47498212063054,0.02301420085132122,0.12056508724823659,0.7333333333333333
ecf,missing_plate,33,22,19,85.87203687419803,0.03513922542333603,0.2402456622103076,0.7333333333333333
mvtec_ad,bottle,63,22,0,110.13057704538635,0.057903483510017395,0.1427818121332111,0.7333333333333333
mvtec_ad,cable,92,22,0,125.77924855546874,0.026430027559399605,0.30918137232462567,0.7333333333333333
mvtec_ad,capsule,109,22,0,50.300025037779484,0.010056690312922001,0.09296859704054795,0.7333333333333333
mvtec_ad,carpet,89,22,0,125.3851546918457,0.08782349526882172,0.17796475753123625,0.7333333333333333
mvtec_ad,grid,57,22,0,117.3172798380902,0.030808163806796074,0.24957464061258158,0.7333333333333333
mvtec_ad,hazelnut,70,22,0,80.96375990208759,0.013328644447028637,0.2725863745718291,0.7333333333333333
mvtec_ad,leather,92,22,0,190.1934629318639,0.11647167056798935,0.24095871438195696,0.7333333333333333
mvtec_ad,metal_nut,93,22,0,187.49356853382957,0.10311278700828552,0.3813916677004331,0.7333333333333333
mvtec_ad,pill,141,22,0,88.30164255747816,0.024236422032117844,0.23668840540435923,0.7333333333333333
mvtec_ad,screw,119,22,0,26.791687557858964,0.001706220326013863,0.3902564544182319,0.7333333333333333
mvtec_ad,tile,84,22,0,260.2407586125089,0.11134939640760422,0.3987184850684492,0.7333333333333333
mvtec_ad,toothbrush,30,22,0,71.65443168875242,0.014985562302172184,0.1685478264119202,0.7333333333333333
mvtec_ad,transistor,40,22,0,123.12393754580891,0.0249483659863472,0.26626286826608503,0.7333333333333333
mvtec_ad,wood,60,22,0,260.2907528050415,0.1337844878435135,0.40910876777781036,0.7333333333333333
mvtec_ad,zipper,119,22,0,116.64064788821062,0.08599095046520233,0.24417954967135475,0.7333333333333333
